xmasYear,day,hour,Fatal,Serious
0,24 Dec,16,0,7
0,24 Dec,17,0,6
0,24 Dec,18,1,4
0,24 Dec,19,1,5
0,24 Dec,20,1,10
0,24 Dec,21,3,3
0,24 Dec,22,1,5
0,24 Dec,23,1,4
0,25 Dec,0,1,1
0,25 Dec,1,1,6
0,25 Dec,2,1,0
0,25 Dec,3,0,0
0,25 Dec,4,2,2
0,25 Dec,5,0,1
0,25 Dec,6,1,1
0,25 Dec,7,0,1
0,25 Dec,8,0,1
0,25 Dec,9,0,1
0,25 Dec,10,1,5
0,25 Dec,11,3,5
0,25 Dec,12,1,3
0,25 Dec,13,0,5
0,25 Dec,14,1,4
0,25 Dec,15,0,6
0,25 Dec,16,1,9
0,25 Dec,17,3,4
0,25 Dec,18,2,11
0,25 Dec,19,1,3
0,25 Dec,20,2,7
0,25 Dec,21,2,3
0,25 Dec,22,0,5
0,25 Dec,23,0,4
0,26 Dec,0,0,3
0,26 Dec,1,1,4
0,26 Dec,2,1,2
0,26 Dec,3,2,2
0,26 Dec,4,0,0
0,26 Dec,5,1,1
0,26 Dec,6,0,2
0,26 Dec,7,1,0
0,26 Dec,8,1,2
0,26 Dec,9,1,0
0,26 Dec,10,0,5
0,26 Dec,11,1,6
0,26 Dec,12,2,8
0,26 Dec,13,0,6
0,26 Dec,14,1,4
0,26 Dec,15,0,7
0,26 Dec,16,1,7
0,26 Dec,17,3,9
0,26 Dec,18,0,5
0,26 Dec,19,0,3
0,26 Dec,20,1,6
0,26 Dec,21,0,4
0,26 Dec,22,1,4
0,26 Dec,23,1,4
0,27 Dec,0,0,4
0,27 Dec,1,0,4
0,27 Dec,2,0,2
0,27 Dec,3,2,3
0,27 Dec,4,0,1
0,27 Dec,5,0,2
0,27 Dec,6,1,1
0,27 Dec,7,3,2
0,27 Dec,8,0,6
0,27 Dec,9,1,3
0,27 Dec,10,1,2
0,27 Dec,11,1,9
0,27 Dec,12,2,4
0,27 Dec,13,3,5
0,27 Dec,14,2,4
0,27 Dec,15,3,9
0,27 Dec,16,2,11
0,27 Dec,17,1,14
0,27 Dec,18,1,5
0,27 Dec,19,1,2
0,27 Dec,20,1,3
0,27 Dec,21,0,3
0,27 Dec,22,0,5
0,27 Dec,23,0,0
0,28 Dec,0,0,2
0,28 Dec,1,0,3
0,28 Dec,2,0,0
0,28 Dec,3,0,4
0,28 Dec,4,0,1
0,28 Dec,5,0,2
0,28 Dec,6,0,2
0,28 Dec,7,1,1
0,28 Dec,8,0,2
0,28 Dec,9,1,2
0,28 Dec,10,2,2
0,28 Dec,11,0,4
0,28 Dec,12,0,11
0,28 Dec,13,4,8
0,28 Dec,14,0,13
0,28 Dec,15,2,8
0,28 Dec,16,2,10
0,28 Dec,17,1,6
0,28 Dec,18,1,4
0,28 Dec,19,1,3
0,28 Dec,20,1,2
0,28 Dec,21,0,1
0,28 Dec,22,0,3
0,28 Dec,23,0,0
0,29 Dec,0,0,0
0,29 Dec,1,1,2
0,29 Dec,2,0,2
0,29 Dec,3,0,0
0,29 Dec,4,1,0
0,29 Dec,5,1,1
0,29 Dec,6,0,2
0,29 Dec,7,2,0
0,29 Dec,8,0,3
0,29 Dec,9,2,7
0,29 Dec,10,0,4
0,29 Dec,11,0,12
0,29 Dec,12,1,2
0,29 Dec,13,7,9
0,29 Dec,14,1,8
0,29 Dec,15,2,8
0,29 Dec,16,2,3
0,29 Dec,17,0,6
0,29 Dec,18,0,5
0,29 Dec,19,0,4
0,29 Dec,20,0,2
0,29 Dec,21,0,5
0,29 Dec,22,1,3
0,29 Dec,23,0,1
0,30 Dec,0,0,4
0,30 Dec,1,0,2
0,30 Dec,2,1,0
0,30 Dec,3,0,1
0,30 Dec,4,0,4
0,30 Dec,5,1,1
0,30 Dec,6,1,3
0,30 Dec,7,1,0
0,30 Dec,8,1,1
0,30 Dec,9,1,2
0,30 Dec,10,1,4
0,30 Dec,11,1,7
0,30 Dec,12,1,4
0,30 Dec,13,0,9
0,30 Dec,14,1,10
0,30 Dec,15,0,12
0,30 Dec,16,3,5
0,30 Dec,17,1,3
0,30 Dec,18,0,7
0,30 Dec,19,0,1
0,30 Dec,20,3,2
0,30 Dec,21,1,1
0,30 Dec,22,1,5
0,30 Dec,23,0,1
0,31 Dec,0,2,1
0,31 Dec,1,0,2
0,31 Dec,2,0,3
0,31 Dec,3,3,3
0,31 Dec,4,0,2
0,31 Dec,5,0,1
0,31 Dec,6,1,3
0,31 Dec,7,0,0
0,31 Dec,8,0,4
0,31 Dec,9,2,2
0,31 Dec,10,2,5
0,31 Dec,11,0,8
0,31 Dec,12,0,9
0,31 Dec,13,1,10
0,31 Dec,14,2,4
0,31 Dec,15,2,4
0,31 Dec,16,0,8
0,31 Dec,17,0,6
0,31 Dec,18,4,5
0,31 Dec,19,1,5
0,31 Dec,20,0,9
0,31 Dec,21,3,3
0,31 Dec,22,0,5
0,31 Dec,23,1,7
0,1 Jan,0,0,3
0,1 Jan,1,4,8
0,1 Jan,2,5,5
0,1 Jan,3,0,2
0,1 Jan,4,1,6
0,1 Jan,5,2,4
0,1 Jan,6,1,9
0,1 Jan,7,0,8
0,1 Jan,8,1,2
0,1 Jan,9,0,2
0,1 Jan,10,1,6
0,1 Jan,11,0,2
0,1 Jan,12,1,6
0,1 Jan,13,0,7
0,1 Jan,14,1,9
0,1 Jan,15,2,5
0,1 Jan,16,1,9
0,1 Jan,17,3,5
0,1 Jan,18,0,6
0,1 Jan,19,1,4
0,1 Jan,20,1,4
0,1 Jan,21,1,3
0,1 Jan,22,0,1
0,1 Jan,23,1,1
0,2 Jan,0,0,2
0,2 Jan,1,3,2
0,2 Jan,2,0,2
0,2 Jan,3,0,1
0,2 Jan,4,0,1
0,2 Jan,5,2,2
0,2 Jan,6,0,2
0,2 Jan,7,0,2
0,2 Jan,8,0,3
0,2 Jan,9,0,2
0,2 Jan,10,0,4
0,2 Jan,11,1,1
0,2 Jan,12,4,6
0,2 Jan,13,0,9
0,2 Jan,14,1,5
0,2 Jan,15,2,11
0,2 Jan,16,0,13
0,2 Jan,17,0,5
0,2 Jan,18,0,2
0,2 Jan,19,1,8
0,2 Jan,20,2,1
0,2 Jan,21,0,5
0,2 Jan,22,1,2
0,2 Jan,23,1,6
0,3 Jan,0,1,0
0,3 Jan,1,1,3
0,3 Jan,2,0,1
0,3 Jan,3,0,0
0,3 Jan,4,2,0
0,3 Jan,5,1,0
0,3 Jan,6,0,0
0,3 Jan,7,0,2
0,3 Jan,8,0,3
0,3 Jan,9,0,0
0,3 Jan,10,1,2
0,3 Jan,11,0,4
0,3 Jan,12,2,4
0,3 Jan,13,1,6
0,3 Jan,14,0,2
0,3 Jan,15,0,2
0,3 Jan,16,1,5
0,3 Jan,17,1,5
0,3 Jan,18,0,2
0,3 Jan,19,1,2
0,3 Jan,20,0,2
0,3 Jan,21,0,1
0,3 Jan,22,2,3
0,3 Jan,23,0,0
0,4 Jan,0,0,1
0,4 Jan,1,0,2
0,4 Jan,2,0,2
0,4 Jan,3,0,1
0,4 Jan,4,0,0
0,4 Jan,5,0,1
0,4 Jan,6,0,2
0,4 Jan,7,0,0
0,4 Jan,8,1,0
0,4 Jan,9,1,3
0,4 Jan,10,0,1
0,4 Jan,11,0,5
0,4 Jan,12,0,1
0,4 Jan,13,0,0
0,4 Jan,14,0,4
0,4 Jan,15,0,2
0,4 Jan,16,1,3
0,4 Jan,17,0,1
0,4 Jan,18,0,2
0,4 Jan,19,1,1
0,4 Jan,20,0,1
0,4 Jan,21,1,0
0,4 Jan,22,0,1
0,4 Jan,23,0,1
0,5 Jan,0,1,0
0,5 Jan,1,1,1
0,5 Jan,2,0,0
0,5 Jan,3,0,0
0,5 Jan,4,0,0
0,5 Jan,5,1,0
